id_player,country_code,id_national_team,name,position_national,position_field,name_shirt,jersey_namber,position_field_detailed,country_birth,birth_date,id_match,start,year,start_position_x,start_position_y,height,id_club,weight
250043090,UKR,57166.0,Ruslan Malinovskyi,MIDFIELDER,MIDFIELDER,1,1,1,1,1,7,2,2,4,4,1,1,1
250043103,MKD,59205.0,Boban Nikolov,MIDFIELDER,MIDFIELDER,1,1,1,0,1,3,2,1,3,3,1,0,1
250043124,POL,109.0,Arkadiusz Milik,FORWARD,FORWARD,1,1,1,0,1,5,1,1,3,5,1,1,1
250043129,TUR,135.0,Abdülkerim Bardakcı,DEFENDER,DEFENDER,1,1,1,0,1,2,1,1,1,1,1,1,1
250043185,SVK,58836.0,Patrik Hrošovský,MIDFIELDER,MIDFIELDER,1,1,1,1,1,10,2,3,4,4,1,1,1
250045024,UKR,57166.0,Marlos,MIDFIELDER,MIDFIELDER,1,1,1,0,1,5,1,1,1,1,1,1,1
250045608,CZE,58837.0,Aleš Mandous,GOALKEEPER,GOALKEEPER,1,1,1,0,1,5,1,1,1,1,0,1,0
250046542,TUR,135.0,İrfan Can Kahveci,FORWARD,MIDFIELDER,1,2,1,0,1,4,2,2,2,2,0,1,0
250046550,SRB,147.0,Miloš Veljković,DEFENDER,DEFENDER,1,1,1,0,1,3,1,1,1,2,0,1,0
250046574,SUI,128.0,Kevin Mbabu,DEFENDER,DEFENDER,1,1,1,0,1,5,2,1,2,3,1,1,1
250046901,ALB,2.0,Thomas Strakosha,GOALKEEPER,GOALKEEPER,1,1,1,0,1,3,1,1,1,1,1,1,1
250047038,WAL,144.0,George Williams,FORWARD,FORWARD,1,1,1,0,1,6,1,1,0,0,1,1,1
250047082,ESP,122.0,Héctor Bellerín,DEFENDER,DEFENDER,1,1,1,1,1,4,1,1,1,1,1,1,1
250047086,ESP,122.0,José Gayà,DEFENDER,DEFENDER,1,1,1,1,1,6,2,1,2,2,0,1,0
250047090,GEO,57157.0,Lasha Dvali,DEFENDER,DEFENDER,1,1,1,1,1,3,1,1,3,3,0,1,0
250047100,UKR,57166.0,Roman Yaremchuk,FORWARD,FORWARD,1,1,1,1,1,8,2,2,4,2,0,1,0
250047105,SCO,117.0,Angus Gunn,GOALKEEPER,GOALKEEPER,1,1,1,0,1,3,1,1,1,1,1,1,0
250049183,GER,47.0,Timo Werner,FORWARD,FORWARD,1,1,1,0,1,4,2,1,2,2,0,1,0
250049713,SWE,127.0,Robin Olsen,GOALKEEPER,GOALKEEPER,1,2,1,0,1,7,2,2,1,1,1,1,1
250049881,SWE,127.0,Emil Krafth,DEFENDER,DEFENDER,1,1,1,0,1,4,1,1,1,1,1,1,0
250050098,SVN,57163.0,Petar Stojanović,DEFENDER,DEFENDER,1,1,1,1,1,3,1,1,1,1,1,1,1
250050354,TUR,135.0,Kenan Karaman,FORWARD,FORWARD,1,1,0,0,1,3,2,1,2,2,0,1,0
250050378,ITA,66.0,Andrea Belotti,FORWARD,FORWARD,1,1,1,0,1,7,2,1,2,2,1,1,1
250050387,ROU,113.0,Florin Andone,FORWARD,FORWARD,1,1,1,0,1,3,2,1,2,2,1,1,1
250050391,SVN,57163.0,Andraž Šporar,FORWARD,FORWARD,1,1,1,0,1,3,1,1,1,1,1,1,1
250050401,SUI,128.0,Fabian Schär,DEFENDER,DEFENDER,1,1,1,0,1,12,2,3,4,3,1,1,1
250050403,AUT,8.0,Alessandro Schöpf,MIDFIELDER,MIDFIELDER,1,1,1,0,1,7,1,2,1,1,1,1,1
250050416,ENG,39.0,Eric Dier,DEFENDER,DEFENDER,1,1,1,0,1,4,1,1,1,2,1,1,1
250050478,SWE,127.0,Robin Quaison,FORWARD,MIDFIELDER,1,1,1,0,1,4,2,1,2,2,1,1,1
250050494,POL,109.0,Jakub Świerczok,FORWARD,FORWARD,1,1,1,0,1,3,1,1,1,1,0,1,0
250050819,SVN,57163.0,Benjamin Verbič,MIDFIELDER,MIDFIELDER,1,1,1,0,1,3,1,1,0,0,1,1,1
250051033,POL,109.0,Filip Starzyński,MIDFIELDER,MIDFIELDER,1,1,1,0,1,5,1,1,0,0,1,1,1
250051754,HUN,57.0,Willi Orbán,DEFENDER,DEFENDER,1,1,1,0,1,6,1,2,2,3,0,1,0
250052541,FIN,42.0,Pyry Soiri,DEFENDER,MIDFIELDER,1,1,1,0,1,3,1,1,1,1,0,1,0
250052596,HUN,57.0,Gergő Lovrencsics,DEFENDER,DEFENDER,1,1,1,0,1,7,2,2,4,3,1,0,1
250052757,AUT,8.0,Valentino Lázaro,MIDFIELDER,MIDFIELDER,1,1,1,0,1,2,1,1,1,1,1,0,1
250052957,ITA,66.0,Francesco Acerbi,DEFENDER,DEFENDER,1,1,1,0,1,7,2,1,2,2,1,1,1
250052963,RUS,57451.0,Mário Fernandes,DEFENDER,DEFENDER,1,1,1,0,1,3,1,1,2,2,1,1,1
250053203,TUR,135.0,Ozan Tufan,MIDFIELDER,MIDFIELDER,1,2,1,0,1,6,1,2,4,4,1,1,1
250053837,CRO,56370.0,Ante Budimir,FORWARD,MIDFIELDER,1,2,1,0,1,6,2,2,2,2,0,1,0
250053905,FRA,43.0,Adrien Rabiot,MIDFIELDER,MIDFIELDER,1,1,1,1,1,7,2,2,5,5,1,1,1
250053934,ROU,113.0,Adrian Popa,FORWARD,MIDFIELDER,1,1,1,0,1,3,2,1,3,3,1,1,1
250054395,UKR,57166.0,Mykyta Shevchenko,GOALKEEPER,GOALKEEPER,1,1,1,0,1,3,1,1,0,0,1,1,1
250054481,CZE,58837.0,Tomáš Holeš,MIDFIELDER,MIDFIELDER,1,2,1,1,1,8,2,2,3,4,0,1,0
250054760,POR,110.0,Gonçalo Guedes,MIDFIELDER,FORWARD,1,1,1,1,1,1,1,1,1,1,1,1,1
250054829,FRA,43.0,Corentin Tolisso,MIDFIELDER,MIDFIELDER,1,1,1,1,1,4,2,1,2,2,1,1,1
250054949,FRA,43.0,Kingsley Coman,FORWARD,FORWARD,1,1,1,1,1,13,2,3,3,3,1,1,1
